skill_name,demand_frequency,salary_premium,market_growth,priority_score,category,learning_difficulty,time_to_learn_weeks
Rust,0.65,0.85,0.95,0.8,Programming,Intermediate,12
Spring Boot,0.78,0.82,0.8,0.798,Backend,Intermediate,10
Integration Testing,0.78,0.8,0.82,0.798,Testing,Beginner,4
Power BI,0.78,0.82,0.8,0.798,Visualization,Beginner,4
Azure Functions,0.75,0.8,0.85,0.795,Cloud,Intermediate,8
GitLab CI,0.75,0.8,0.85,0.795,DevOps,Intermediate,10
Tailwind CSS,0.78,0.72,0.88,0.792,Frontend,Beginner,6
Pytest,0.78,0.78,0.82,0.792,Testing,Beginner,4
Redis,0.78,0.77,0.82,0.789,Database,Intermediate,8
C++,0.75,0.88,0.75,0.789,Programming,Intermediate,12
Ansible,0.75,0.8,0.82,0.786,DevOps,Intermediate,10
Cloud Functions,0.72,0.78,0.88,0.786,Cloud,Intermediate,8
Jenkins,0.78,0.78,0.8,0.786,DevOps,Intermediate,10
Elasticsearch,0.75,0.8,0.82,0.786,Database,Intermediate,8
GitLab,0.78,0.75,0.82,0.783,Version Control,Beginner,2
Angular,0.78,0.78,0.78,0.78,Frontend,Beginner,6
Django,0.75,0.8,0.8,0.78,Backend,Intermediate,10
DynamoDB,0.72,0.78,0.85,0.777,Database,Intermediate,8
Prometheus,0.72,0.78,0.85,0.777,DevOps,Intermediate,10
HTML/CSS,0.85,0.7,0.75,0.775,Frontend,Beginner,6
Tableau,0.75,0.8,0.78,0.774,Visualization,Beginner,4
Vue.js,0.75,0.75,0.82,0.771,Frontend,Beginner,6
MySQL,0.8,0.75,0.75,0.77,Database,Intermediate,8
Apache Flink,0.68,0.8,0.85,0.767,Big Data,Advanced,12
Jest,0.75,0.75,0.8,0.765,Testing,Beginner,4
Flask,0.72,0.78,0.78,0.756,Backend,Intermediate,10
Redux,0.72,0.75,0.8,0.753,Frontend,Beginner,6
Grafana,0.7,0.75,0.82,0.751,DevOps,Intermediate,10
Selenium,0.72,0.75,0.78,0.747,Testing,Beginner,4
Cassandra,0.68,0.8,0.78,0.746,Database,Intermediate,8
Plotly,0.7,0.75,0.8,0.745,Visualization,Beginner,4
Hadoop,0.7,0.8,0.72,0.736,Big Data,Advanced,12
Scala,0.68,0.82,0.72,0.734,Programming,Intermediate,12
R,0.72,0.78,0.7,0.732,Programming,Intermediate,12
Matplotlib,0.72,0.72,0.75,0.729,Visualization,Beginner,4
D3.js,0.65,0.78,0.78,0.728,Visualization,Beginner,4
Bitbucket,0.7,0.72,0.75,0.721,Version Control,Beginner,2
Neo4j,0.62,0.75,0.8,0.713,Database,Intermediate,8
Ruby,0.65,0.75,0.68,0.689,Programming,Intermediate,12
